SN,Commodity,Date,Unit,Minimum,Maximum,Average
33445,Ginger,05-01-2015,Kg,55,60,57.5
33522,Ginger,06-01-2015,Kg,55,60,57.5
33600,Ginger,07-01-2015,Kg,55,60,57.5
33676,Ginger,08-01-2015,Kg,55,60,57.5
33754,Ginger,09-01-2015,Kg,55,60,57.5
33830,Ginger,11-01-2015,Kg,55,60,57.5
33908,Ginger,12-01-2015,Kg,60,70,65
33989,Ginger,13-01-2015,Kg,60,70,65
34070,Ginger,14-01-2015,Kg,60,70,65
34140,Ginger,15-01-2015,Kg,60,70,65
34214,Ginger,16-01-2015,Kg,60,70,65
34291,Ginger,17-01-2015,Kg,70,80,75
34368,Ginger,18-01-2015,Kg,70,80,75
34446,Ginger,19-01-2015,Kg,65,70,67.5
34517,Ginger,20-01-2015,Kg,60,70,65
34592,Ginger,21-01-2015,Kg,60,70,65
34669,Ginger,22-01-2015,Kg,60,70,65
34746,Ginger,23-01-2015,Kg,60,70,65
34823,Ginger,25-01-2015,Kg,60,70,65
34898,Ginger,26-01-2015,Kg,60,70,65
34973,Ginger,27-01-2015,Kg,60,70,65
35050,Ginger,28-01-2015,Kg,55,65,60
35129,Ginger,29-01-2015,Kg,60,70,65
35208,Ginger,31-01-2015,Kg,60,65,62.5
35286,Ginger,01-02-2015,Kg,55,65,60
35363,Ginger,02-02-2015,Kg,55,65,60
35441,Ginger,03-02-2015,Kg,55,65,60
35517,Ginger,04-02-2015,Kg,60,70,65
35591,Ginger,05-02-2015,Kg,55,65,60
35668,Ginger,06-02-2015,Kg,55,65,60
35746,Ginger,07-02-2015,Kg,55,65,60
35823,Ginger,08-02-2015,Kg,55,65,60
35900,Ginger,09-02-2015,Kg,55,65,60
35978,Ginger,10-02-2015,Kg,55,60,57.5
36056,Ginger,11-02-2015,Kg,60,65,62.5
36133,Ginger,12-02-2015,Kg,55,65,60
36209,Ginger,13-02-2015,Kg,55,65,60
36287,Ginger,14-02-2015,Kg,70,75,72.5
36365,Ginger,15-02-2015,Kg,70,75,72.5
36442,Ginger,16-02-2015,Kg,60,70,65
36521,Ginger,18-02-2015,Kg,60,70,65
36599,Ginger,19-02-2015,Kg,65,70,67.5
36677,Ginger,20-02-2015,Kg,65,75,70
36756,Ginger,22-02-2015,Kg,60,70,65
36837,Ginger,23-02-2015,Kg,60,70,65
36914,Ginger,24-02-2015,Kg,60,70,65
36988,Ginger,25-02-2015,Kg,70,80,75
37062,Ginger,26-02-2015,Kg,70,80,75
37138,Ginger,27-02-2015,Kg,70,80,75
37213,Ginger,01-03-2015,Kg,70,80,75
37285,Ginger,02-03-2015,Kg,70,80,75
37362,Ginger,03-03-2015,Kg,70,80,75
37438,Ginger,06-03-2015,Kg,70,80,75
37508,Ginger,09-03-2015,Kg,70,80,75
37583,Ginger,10-03-2015,Kg,70,80,75
37656,Ginger,11-03-2015,Kg,70,80,75
37728,Ginger,12-03-2015,Kg,70,80,75
37800,Ginger,13-03-2015,Kg,70,80,75
37878,Ginger,14-03-2015,Kg,75,85,80
37995,Ginger,16-03-2015,Kg,70,80,75
38072,Ginger,17-03-2015,Kg,70,80,75
38150,Ginger,18-03-2015,Kg,70,80,75
38227,Ginger,19-03-2015,Kg,70,80,75
38306,Ginger,20-03-2015,Kg,70,80,75
38385,Ginger,21-03-2015,Kg,80,90,85
38464,Ginger,22-03-2015,Kg,80,90,85
38543,Ginger,23-03-2015,Kg,80,90,85
38620,Ginger,24-03-2015,Kg,80,90,85
38699,Ginger,25-03-2015,Kg,80,90,85
38775,Ginger,26-03-2015,Kg,80,90,85
38852,Ginger,27-03-2015,Kg,80,90,85
38925,Ginger,28-03-2015,Kg,80,90,85
38998,Ginger,29-03-2015,Kg,90,95,92.5
39076,Ginger,30-03-2015,Kg,90,95,92.5
39154,Ginger,31-03-2015,Kg,90,95,92.5
39233,Ginger,01-04-2015,Kg,90,95,92.5
39311,Ginger,02-04-2015,Kg,85,95,90
39388,Ginger,03-04-2015,Kg,80,90,85
39465,Ginger,04-04-2015,Kg,80,90,85
39541,Ginger,05-04-2015,Kg,80,90,85
39618,Ginger,06-04-2015,Kg,80,90,85
39693,Ginger,07-04-2015,Kg,80,90,85
39769,Ginger,08-04-2015,Kg,80,90,85
39848,Ginger,10-04-2015,Kg,80,90,85
39922,Ginger,12-04-2015,Kg,80,85,82.5
39997,Ginger,13-04-2015,Kg,80,85,82.5
40071,Ginger,14-04-2015,Kg,70,80,75
40146,Ginger,15-04-2015,Kg,70,80,75
40222,Ginger,16-04-2015,Kg,70,80,75
40297,Ginger,17-04-2015,Kg,70,80,75
40373,Ginger,18-04-2015,Kg,70,80,75
40446,Ginger,19-04-2015,Kg,70,80,75
40522,Ginger,20-04-2015,Kg,70,80,75
40596,Ginger,21-04-2015,Kg,70,80,75
40670,Ginger,22-04-2015,Kg,70,75,72.5
40744,Ginger,23-04-2015,Kg,70,80,75
40820,Ginger,24-04-2015,Kg,70,80,75
40892,Ginger,25-04-2015,Kg,70,80,75
40964,Ginger,26-04-2015,Kg,80,90,85
41037,Ginger,27-04-2015,Kg,80,90,85
41110,Ginger,28-04-2015,Kg,80,90,85
41181,Ginger,29-04-2015,Kg,70,80,75
41252,Ginger,30-04-2015,Kg,70,80,75
41319,Ginger,01-05-2015,Kg,70,80,75
41384,Ginger,02-05-2015,Kg,60,70,65
41455,Ginger,03-05-2015,Kg,70,80,75
41527,Ginger,04-05-2015,Kg,70,80,75
41598,Ginger,05-05-2015,Kg,70,80,75
41673,Ginger,06-05-2015,Kg,70,80,75
41748,Ginger,07-05-2015,Kg,70,80,75
41821,Ginger,08-05-2015,Kg,70,80,75
41894,Ginger,10-05-2015,Kg,70,80,75
41967,Ginger,11-05-2015,Kg,70,80,75
42040,Ginger,12-05-2015,Kg,70,80,75
42112,Ginger,13-05-2015,Kg,70,80,75
42183,Ginger,14-05-2015,Kg,70,80,75
42255,Ginger,15-05-2015,Kg,70,80,75
42326,Ginger,16-05-2015,Kg,75,85,80
42397,Ginger,17-05-2015,Kg,70,80,75
42468,Ginger,18-05-2015,Kg,70,80,75
42539,Ginger,19-05-2015,Kg,70,80,75
42610,Ginger,20-05-2015,Kg,70,80,75
42681,Ginger,21-05-2015,Kg,70,80,75
42752,Ginger,22-05-2015,Kg,70,80,75
42823,Ginger,23-05-2015,Kg,70,80,75
42894,Ginger,24-05-2015,Kg,70,80,75
42963,Ginger,25-05-2015,Kg,70,80,75
43033,Ginger,26-05-2015,Kg,70,80,75
43103,Ginger,27-05-2015,Kg,70,80,75
43173,Ginger,28-05-2015,Kg,70,80,75
43242,Ginger,29-05-2015,Kg,70,80,75
43313,Ginger,30-05-2015,Kg,70,80,75
43380,Ginger,31-05-2015,Kg,70,80,75
43448,Ginger,01-06-2015,Kg,70,80,75
43516,Ginger,02-06-2015,Kg,70,80,75
43584,Ginger,03-06-2015,Kg,70,80,75
43653,Ginger,04-06-2015,Kg,70,80,75
43722,Ginger,05-06-2015,Kg,70,80,75
43792,Ginger,06-06-2015,Kg,70,85,77.5
43862,Ginger,07-06-2015,Kg,70,80,75
43932,Ginger,08-06-2015,Kg,70,80,75
44001,Ginger,09-06-2015,Kg,70,80,75
44069,Ginger,10-06-2015,Kg,70,80,75
44138,Ginger,11-06-2015,Kg,90,100,95
44207,Ginger,12-06-2015,Kg,90,100,95
44277,Ginger,13-06-2015,Kg,85,100,92.5
44347,Ginger,14-06-2015,Kg,100,110,105
44416,Ginger,15-06-2015,Kg,90,100,95
44485,Ginger,16-06-2015,Kg,95,110,102.5
44555,Ginger,17-06-2015,Kg,100,110,105
44625,Ginger,18-06-2015,Kg,90,100,95
44695,Ginger,19-06-2015,Kg,90,100,95
44766,Ginger,20-06-2015,Kg,90,110,100
44836,Ginger,21-06-2015,Kg,90,100,95
44906,Ginger,22-06-2015,Kg,90,100,95
44974,Ginger,23-06-2015,Kg,90,100,95
45042,Ginger,24-06-2015,Kg,90,100,95
45110,Ginger,25-06-2015,Kg,90,100,95
45178,Ginger,26-06-2015,Kg,90,100,95
45247,Ginger,27-06-2015,Kg,90,110,100
45315,Ginger,28-06-2015,Kg,90,100,95
45383,Ginger,29-06-2015,Kg,90,100,95
45451,Ginger,30-06-2015,Kg,90,100,95
45520,Ginger,01-07-2015,Kg,90,100,95
45589,Ginger,02-07-2015,Kg,90,100,95
45658,Ginger,03-07-2015,Kg,90,100,95
45726,Ginger,04-07-2015,Kg,90,110,100
45795,Ginger,05-07-2015,Kg,90,100,95
45863,Ginger,06-07-2015,Kg,90,100,95
45931,Ginger,07-07-2015,Kg,90,100,95
45999,Ginger,08-07-2015,Kg,90,100,95
46068,Ginger,09-07-2015,Kg,90,100,95
46136,Ginger,10-07-2015,Kg,90,100,95
46204,Ginger,11-07-2015,Kg,90,110,100
46272,Ginger,12-07-2015,Kg,90,100,95
46339,Ginger,13-07-2015,Kg,90,100,95
46405,Ginger,14-07-2015,Kg,90,100,95
46472,Ginger,15-07-2015,Kg,90,100,95
46542,Ginger,16-07-2015,Kg,90,100,95
46612,Ginger,17-07-2015,Kg,90,100,95
46681,Ginger,18-07-2015,Kg,85,100,92.5
46751,Ginger,19-07-2015,Kg,90,100,95
46821,Ginger,20-07-2015,Kg,90,100,95
46889,Ginger,21-07-2015,Kg,100,110,105
46959,Ginger,22-07-2015,Kg,90,100,95
47029,Ginger,23-07-2015,Kg,90,100,95
47100,Ginger,24-07-2015,Kg,90,100,95
47169,Ginger,25-07-2015,Kg,90,110,100
47240,Ginger,26-07-2015,Kg,90,100,95
47310,Ginger,27-07-2015,Kg,90,100,95
47380,Ginger,28-07-2015,Kg,90,100,95
47450,Ginger,29-07-2015,Kg,90,100,95
47519,Ginger,30-07-2015,Kg,90,100,95
47589,Ginger,31-07-2015,Kg,90,100,95
47660,Ginger,01-08-2015,Kg,90,110,100
47731,Ginger,02-08-2015,Kg,90,100,95
47802,Ginger,03-08-2015,Kg,90,100,95
47873,Ginger,04-08-2015,Kg,90,100,95
47944,Ginger,05-08-2015,Kg,90,100,95
48014,Ginger,06-08-2015,Kg,90,100,95
48083,Ginger,07-08-2015,Kg,90,100,95
48153,Ginger,08-08-2015,Kg,90,100,95
48224,Ginger,09-08-2015,Kg,90,100,95
48294,Ginger,10-08-2015,Kg,90,100,95
48364,Ginger,11-08-2015,Kg,90,100,95
48435,Ginger,12-08-2015,Kg,80,90,85
48506,Ginger,13-08-2015,Kg,80,90,85
48576,Ginger,14-08-2015,Kg,80,90,85
48646,Ginger,15-08-2015,Kg,80,90,85
48717,Ginger,16-08-2015,Kg,80,90,85
48788,Ginger,17-08-2015,Kg,80,90,85
48858,Ginger,18-08-2015,Kg,80,90,85
48929,Ginger,19-08-2015,Kg,80,90,85
49000,Ginger,20-08-2015,Kg,90,100,95
49071,Ginger,21-08-2015,Kg,90,100,95
49140,Ginger,22-08-2015,Kg,90,100,95
49211,Ginger,23-08-2015,Kg,100,110,105
49282,Ginger,24-08-2015,Kg,100,110,105
49352,Ginger,25-08-2015,Kg,100,110,105
49422,Ginger,26-08-2015,Kg,100,110,105
49492,Ginger,27-08-2015,Kg,100,110,105
49559,Ginger,28-08-2015,Kg,100,110,105
49629,Ginger,29-08-2015,Kg,130,140,135
49697,Ginger,30-08-2015,Kg,140,150,145
49762,Ginger,31-08-2015,Kg,120,130,125
49829,Ginger,01-09-2015,Kg,110,120,115
49895,Ginger,02-09-2015,Kg,100,120,110
49963,Ginger,03-09-2015,Kg,100,120,110
50031,Ginger,04-09-2015,Kg,100,120,110
50099,Ginger,05-09-2015,Kg,100,120,110
50167,Ginger,06-09-2015,Kg,100,120,110
50234,Ginger,07-09-2015,Kg,100,120,110
50302,Ginger,08-09-2015,Kg,100,120,110
50371,Ginger,09-09-2015,Kg,100,120,110
50440,Ginger,10-09-2015,Kg,100,120,110
50509,Ginger,11-09-2015,Kg,100,110,105
50578,Ginger,12-09-2015,Kg,90,110,100
50648,Ginger,13-09-2015,Kg,100,110,105
50718,Ginger,14-09-2015,Kg,100,110,105
50787,Ginger,15-09-2015,Kg,100,110,105
50856,Ginger,16-09-2015,Kg,100,110,105
50925,Ginger,17-09-2015,Kg,100,110,105
50993,Ginger,18-09-2015,Kg,100,110,105
51063,Ginger,19-09-2015,Kg,95,110,102.5
51132,Ginger,20-09-2015,Kg,100,110,105
51201,Ginger,21-09-2015,Kg,100,110,105
51270,Ginger,22-09-2015,Kg,100,110,105
51340,Ginger,23-09-2015,Kg,100,110,105
51412,Ginger,24-09-2015,Kg,100,110,105
51483,Ginger,25-09-2015,Kg,90,100,95
51553,Ginger,26-09-2015,Kg,80,100,90
51624,Ginger,27-09-2015,Kg,90,100,95
51695,Ginger,28-09-2015,Kg,90,100,95
51765,Ginger,29-09-2015,Kg,80,100,90
51833,Ginger,30-09-2015,Kg,80,90,85
51901,Ginger,01-10-2015,Kg,80,90,85
51971,Ginger,02-10-2015,Kg,80,90,85
52043,Ginger,03-10-2015,Kg,80,90,85
52113,Ginger,04-10-2015,Kg,80,90,85
52183,Ginger,05-10-2015,Kg,80,90,85
52252,Ginger,06-10-2015,Kg,70,80,75
52320,Ginger,07-10-2015,Kg,70,80,75
52388,Ginger,08-10-2015,Kg,70,80,75
52456,Ginger,09-10-2015,Kg,70,80,75
52525,Ginger,10-10-2015,Kg,70,80,75
52593,Ginger,11-10-2015,Kg,70,80,75
52659,Ginger,12-10-2015,Kg,70,80,75
52724,Ginger,13-10-2015,Kg,70,80,75
52793,Ginger,14-10-2015,Kg,70,80,75
52861,Ginger,15-10-2015,Kg,70,80,75
52930,Ginger,16-10-2015,Kg,70,80,75
53003,Ginger,17-10-2015,Kg,70,80,75
53071,Ginger,18-10-2015,Kg,70,80,75
53139,Ginger,19-10-2015,Kg,60,80,70
53207,Ginger,20-10-2015,Kg,60,80,70
53270,Ginger,21-10-2015,Kg,60,80,70
53332,Ginger,22-10-2015,Kg,60,80,70
53395,Ginger,23-10-2015,Kg,60,80,70
53460,Ginger,24-10-2015,Kg,60,70,65
53524,Ginger,25-10-2015,Kg,60,70,65
53587,Ginger,26-10-2015,Kg,60,70,65
53655,Ginger,27-10-2015,Kg,60,70,65
53724,Ginger,28-10-2015,Kg,60,70,65
53793,Ginger,29-10-2015,Kg,60,70,65
53860,Ginger,30-10-2015,Kg,60,70,65
53929,Ginger,31-10-2015,Kg,60,70,65
53995,Ginger,01-11-2015,Kg,60,70,65
54064,Ginger,02-11-2015,Kg,60,70,65
54131,Ginger,03-11-2015,Kg,60,70,65
54199,Ginger,04-11-2015,Kg,60,70,65
54268,Ginger,05-11-2015,Kg,60,70,65
54337,Ginger,06-11-2015,Kg,60,70,65
54407,Ginger,07-11-2015,Kg,55,70,62.5
54474,Ginger,08-11-2015,Kg,60,70,65
54543,Ginger,09-11-2015,Kg,60,70,65
54612,Ginger,10-11-2015,Kg,60,70,65
54681,Ginger,11-11-2015,Kg,60,70,65
54753,Ginger,12-11-2015,Kg,60,75,67.5
54801,Ginger,13-11-2015,Kg,60,70,65
54868,Ginger,14-11-2015,Kg,70,80,75
54936,Ginger,15-11-2015,Kg,70,80,75
55005,Ginger,16-11-2015,Kg,70,80,75
55074,Ginger,17-11-2015,Kg,70,80,75
55144,Ginger,18-11-2015,Kg,70,80,75
55214,Ginger,19-11-2015,Kg,70,80,75
55284,Ginger,20-11-2015,Kg,70,80,75
55355,Ginger,21-11-2015,Kg,70,80,75
55425,Ginger,22-11-2015,Kg,70,80,75
55495,Ginger,23-11-2015,Kg,60,70,65
55566,Ginger,24-11-2015,Kg,60,70,65
55637,Ginger,25-11-2015,Kg,60,70,65
55708,Ginger,26-11-2015,Kg,60,70,65
55779,Ginger,27-11-2015,Kg,60,70,65
55850,Ginger,28-11-2015,Kg,60,70,65
55920,Ginger,29-11-2015,Kg,60,70,65
55990,Ginger,30-11-2015,Kg,60,70,65
56060,Ginger,01-12-2015,Kg,60,70,65
56130,Ginger,02-12-2015,Kg,60,70,65
56200,Ginger,03-12-2015,Kg,50,60,55
56270,Ginger,04-12-2015,Kg,50,60,55
56341,Ginger,05-12-2015,Kg,45,60,52.5
56411,Ginger,06-12-2015,Kg,50,60,55
56481,Ginger,07-12-2015,Kg,50,60,55
56551,Ginger,08-12-2015,Kg,50,60,55
56623,Ginger,09-12-2015,Kg,50,60,55
56695,Ginger,10-12-2015,Kg,50,60,55
56767,Ginger,11-12-2015,Kg,50,60,55
56839,Ginger,12-12-2015,Kg,45,60,52.5
56910,Ginger,13-12-2015,Kg,50,60,55
56981,Ginger,14-12-2015,Kg,50,60,55
57052,Ginger,15-12-2015,Kg,50,60,55
57124,Ginger,16-12-2015,Kg,50,60,55
57195,Ginger,17-12-2015,Kg,50,60,55
57266,Ginger,18-12-2015,Kg,50,60,55
57339,Ginger,19-12-2015,Kg,48,60,54
57412,Ginger,20-12-2015,Kg,50,60,55
57485,Ginger,21-12-2015,Kg,50,60,55
57558,Ginger,22-12-2015,Kg,50,60,55
57630,Ginger,23-12-2015,Kg,50,60,55
57703,Ginger,24-12-2015,Kg,50,60,55
57776,Ginger,25-12-2015,Kg,50,60,55
57848,Ginger,26-12-2015,Kg,45,60,52.5
57920,Ginger,27-12-2015,Kg,50,60,55
57994,Ginger,28-12-2015,Kg,50,60,55
58068,Ginger,29-12-2015,Kg,50,60,55
58142,Ginger,30-12-2015,Kg,45,50,47.5
58216,Ginger,31-12-2015,Kg,50,60,55
58289,Ginger,01-01-2016,Kg,50,60,55
58362,Ginger,02-01-2016,Kg,50,60,55
58435,Ginger,03-01-2016,Kg,50,60,55
58509,Ginger,04-01-2016,Kg,50,60,55
58583,Ginger,05-01-2016,Kg,50,60,55
58658,Ginger,06-01-2016,Kg,50,60,55
58733,Ginger,07-01-2016,Kg,50,60,55
58808,Ginger,08-01-2016,Kg,50,60,55
58882,Ginger,09-01-2016,Kg,50,60,55
58957,Ginger,10-01-2016,Kg,50,60,55
59032,Ginger,11-01-2016,Kg,50,60,55
59107,Ginger,12-01-2016,Kg,50,60,55
59182,Ginger,13-01-2016,Kg,50,60,55
59257,Ginger,14-01-2016,Kg,50,60,55
59332,Ginger,15-01-2016,Kg,50,60,55
59407,Ginger,16-01-2016,Kg,50,60,55
59482,Ginger,17-01-2016,Kg,50,60,55
59557,Ginger,18-01-2016,Kg,40,50,45
59632,Ginger,19-01-2016,Kg,40,50,45
59707,Ginger,20-01-2016,Kg,40,50,45
59782,Ginger,21-01-2016,Kg,40,50,45
59857,Ginger,22-01-2016,Kg,40,50,45
59931,Ginger,23-01-2016,Kg,40,50,45
60006,Ginger,24-01-2016,Kg,40,50,45
60080,Ginger,25-01-2016,Kg,40,50,45
60155,Ginger,26-01-2016,Kg,40,50,45
60231,Ginger,27-01-2016,Kg,40,50,45
60305,Ginger,28-01-2016,Kg,40,50,45
60380,Ginger,29-01-2016,Kg,40,50,45
60454,Ginger,30-01-2016,Kg,40,50,45
60530,Ginger,31-01-2016,Kg,40,50,45
60605,Ginger,01-02-2016,Kg,40,50,45
60680,Ginger,02-02-2016,Kg,40,50,45
60756,Ginger,03-02-2016,Kg,40,50,45
60832,Ginger,04-02-2016,Kg,40,50,45
60904,Ginger,05-02-2016,Kg,40,50,45
60977,Ginger,06-02-2016,Kg,40,50,45
61051,Ginger,07-02-2016,Kg,40,50,45
61125,Ginger,08-02-2016,Kg,40,50,45
61199,Ginger,09-02-2016,Kg,40,50,45
61273,Ginger,10-02-2016,Kg,40,50,45
61348,Ginger,11-02-2016,Kg,40,50,45
61423,Ginger,12-02-2016,Kg,40,50,45
61495,Ginger,13-02-2016,Kg,40,50,45
61570,Ginger,14-02-2016,Kg,50,60,55
61645,Ginger,15-02-2016,Kg,50,60,55
61720,Ginger,16-02-2016,Kg,50,60,55
61795,Ginger,17-02-2016,Kg,50,60,55
61869,Ginger,18-02-2016,Kg,50,60,55
61943,Ginger,19-02-2016,Kg,50,60,55
62015,Ginger,20-02-2016,Kg,50,58,54
62089,Ginger,21-02-2016,Kg,50,60,55
62163,Ginger,22-02-2016,Kg,50,60,55
62237,Ginger,23-02-2016,Kg,50,60,55
62310,Ginger,24-02-2016,Kg,50,60,55
62384,Ginger,25-02-2016,Kg,50,60,55
62458,Ginger,26-02-2016,Kg,50,60,55
62532,Ginger,27-02-2016,Kg,50,60,55
62606,Ginger,28-02-2016,Kg,50,60,55
62680,Ginger,29-02-2016,Kg,50,60,55
62754,Ginger,01-03-2016,Kg,50,60,55
62828,Ginger,02-03-2016,Kg,50,60,55
62903,Ginger,04-03-2016,Kg,50,60,55
62976,Ginger,05-03-2016,Kg,55,60,57.5
63051,Ginger,06-03-2016,Kg,50,60,55
63128,Ginger,07-03-2016,Kg,50,65,57.5
63204,Ginger,08-03-2016,Kg,50,60,55
63278,Ginger,09-03-2016,Kg,50,60,55
63354,Ginger,10-03-2016,Kg,50,60,55
63430,Ginger,11-03-2016,Kg,50,60,55
63505,Ginger,12-03-2016,Kg,50,60,55
63581,Ginger,13-03-2016,Kg,50,80,65
63659,Ginger,15-03-2016,Kg,50,60,55
63738,Ginger,16-03-2016,Kg,50,60,55
63814,Ginger,17-03-2016,Kg,50,60,55
63891,Ginger,18-03-2016,Kg,50,60,55
63966,Ginger,19-03-2016,Kg,50,60,55
64042,Ginger,20-03-2016,Kg,50,60,55
64115,Ginger,21-03-2016,Kg,50,60,55
64189,Ginger,22-03-2016,Kg,50,60,55
64263,Ginger,23-03-2016,Kg,50,60,55
64337,Ginger,24-03-2016,Kg,50,60,55
64410,Ginger,25-03-2016,Kg,50,60,55
64482,Ginger,26-03-2016,Kg,50,60,55
64555,Ginger,27-03-2016,Kg,50,60,55
64627,Ginger,28-03-2016,Kg,50,60,55
64699,Ginger,29-03-2016,Kg,50,60,55
64771,Ginger,30-03-2016,Kg,50,60,55
64843,Ginger,31-03-2016,Kg,50,60,55
64915,Ginger,01-04-2016,Kg,50,60,55
64985,Ginger,02-04-2016,Kg,60,70,65
65058,Ginger,03-04-2016,Kg,50,60,55
65132,Ginger,04-04-2016,Kg,50,60,55
65206,Ginger,05-04-2016,Kg,50,60,55
65280,Ginger,06-04-2016,Kg,50,60,55
65354,Ginger,07-04-2016,Kg,50,55,52.5
65426,Ginger,08-04-2016,Kg,50,58,54
65497,Ginger,09-04-2016,Kg,55,58,56.5
65568,Ginger,10-04-2016,Kg,50,60,55
65641,Ginger,11-04-2016,Kg,60,70,65
65714,Ginger,12-04-2016,Kg,60,70,65
65787,Ginger,13-04-2016,Kg,60,70,65
65859,Ginger,14-04-2016,Kg,60,70,65
65931,Ginger,15-04-2016,Kg,60,70,65
66003,Ginger,16-04-2016,Kg,60,70,65
66075,Ginger,17-04-2016,Kg,60,70,65
66148,Ginger,18-04-2016,Kg,60,70,65
66221,Ginger,19-04-2016,Kg,60,70,65
66294,Ginger,20-04-2016,Kg,60,70,65
66368,Ginger,21-04-2016,Kg,60,70,65
66442,Ginger,22-04-2016,Kg,60,70,65
66515,Ginger,23-04-2016,Kg,60,70,65
66589,Ginger,24-04-2016,Kg,60,70,65
66662,Ginger,25-04-2016,Kg,60,70,65
66735,Ginger,26-04-2016,Kg,70,80,75
66809,Ginger,27-04-2016,Kg,70,80,75
66879,Ginger,28-04-2016,Kg,70,80,75
66951,Ginger,29-04-2016,Kg,70,80,75
67021,Ginger,30-04-2016,Kg,70,80,75
67092,Ginger,01-05-2016,Kg,65,80,72.5
67164,Ginger,02-05-2016,Kg,70,80,75
67232,Ginger,03-05-2016,Kg,70,80,75
67300,Ginger,04-05-2016,Kg,70,80,75
67369,Ginger,05-05-2016,Kg,70,80,75
67436,Ginger,06-05-2016,Kg,70,80,75
67503,Ginger,07-05-2016,Kg,70,80,75
67571,Ginger,08-05-2016,Kg,70,80,75
67637,Ginger,09-05-2016,Kg,70,80,75
67703,Ginger,10-05-2016,Kg,70,80,75
67770,Ginger,11-05-2016,Kg,70,80,75
67837,Ginger,12-05-2016,Kg,60,70,65
67905,Ginger,13-05-2016,Kg,60,70,65
67972,Ginger,14-05-2016,Kg,60,70,65
68038,Ginger,15-05-2016,Kg,70,80,75
68104,Ginger,16-05-2016,Kg,70,80,75
68171,Ginger,17-05-2016,Kg,70,80,75
68238,Ginger,18-05-2016,Kg,70,80,75
68305,Ginger,19-05-2016,Kg,80,90,85
68372,Ginger,20-05-2016,Kg,70,80,75
68439,Ginger,21-05-2016,Kg,70,80,75
68507,Ginger,22-05-2016,Kg,70,80,75
68574,Ginger,23-05-2016,Kg,60,70,65
68641,Ginger,24-05-2016,Kg,60,70,65
68708,Ginger,25-05-2016,Kg,60,70,65
68777,Ginger,26-05-2016,Kg,60,70,65
